xo,yo,zo,x,y,z
28,0,7,28.8919905089232,0.754935162073345,8.17465068054947
28,0,8,29.3134162811101,0.879069064842752,8.6447937349325
28,0,9,29.649793545034,0.49093110827314,9.89806115420119
28,0,10,28.885253673643,1.03159204489571,10.552679994398
29,0,0,30.0295017327996,0.598398574521714,0.872139747937428
29,0,1,30.3025923975859,0.586788204926369,1.53788988098049
29,0,2,29.8564234442437,0.339142514395089,2.54845698110618
29,0,3,29.5728136272812,0.642338584493028,3.27471968598071
29,0,4,29.5327473795792,0.324284909055272,4.37612901854905
29,0,5,29.774323480111,0.221420094012105,5.38335594823296
29,0,6,30.0949749345072,0.473507533725462,6.39447664298802
29,0,7,29.8475001422555,0.39979036584815,7.35496794645151
29,0,8,29.9171691549625,0.455695016113797,8.18282660225313
29,0,9,30.2293949377486,0.151534973272599,9.17387431840654
29,0,10,29.8288194242444,0.196982103482132,10.1999968783094
30,0,0,30.6902264341754,0.742637745263754,0.810993578675543
30,0,1,30.6526003012358,1.17611561309721,1.55495547515619
30,0,2,30.8206707314359,0.438301783268656,2.39936387353033
30,0,3,30.7954025138841,0.316814566515772,3.4850232722892
30,0,4,30.8869527108371,0.574688845259461,4.3413169268205
30,0,5,31.0223340059858,0.433062487286063,5.36561427047392
30,0,6,31.4342507952028,0.43326571572668,6.21496814723117
30,0,7,31.7722668644149,0.199551681808823,7.26002853381026
30,0,8,32.5160595261133,0.292215101000003,8.30136869236168
30,0,9,31.9158942488256,0.367481104825344,9.397097829588
30,0,10,31.9803980344441,0.569794858079794,10.4064411710009
31,0,0,31.7065315147175,0.911620144256868,0.724944190187733
31,0,1,31.6811035075173,0.821904053265571,1.67726535483175
31,0,2,32.0060444813855,0.533180866389681,2.45850499909438
31,0,3,32.1854668415743,0.422424201414311,3.52671589164963
31,0,4,32.3511641796022,0.425575735202864,4.48141400150561
31,0,5,32.1532110119088,0.586107623395722,5.65806838443575
31,0,6,32.2441335899911,0.973299806801107,6.58440066463663
31,0,7,31.7090142190543,0.556263131434424,7.30060005982528
31,0,8,31.475684619835,0.356566868608973,8.18558297898617
31,0,9,31.6191717427826,0.219591432566845,9.20266745557873
31,0,10,31.8605792384079,0.173653887802164,10.1275648584025
32,0,0,32.3462147304189,0.905802631856782,1.38842690424084
32,0,1,32.3302108116862,1.23546289681491,2.58991501928895
32,0,2,32.2756763615087,2.05666377724149,4.04504310241997
32,0,3,32.1559313941413,2.06953243530532,4.28964958123256
32,0,4,32.1325382943451,1.57025924376629,5.31278029429803
32,0,5,32.1066145369058,1.82499909712677,6.88447460733744
32,0,6,32.1563720072584,1.96145524321678,7.19263154340184
32,0,7,32.2183589126056,1.2107888127063,8.27535872433903
32,0,8,32.3076658001645,0.85484907235312,9.51072176866142
32,0,9,32.306200914485,1.18149387493722,11.2531454166857
32,0,10,32.2511408407002,1.14421791640305,12.328565369595
33,0,0,34.0009285133605,0.396565630731284,0.544978553641789
33,0,1,33.6355270142756,0.646942297707601,1.48785066334365
33,0,2,33.4890203783896,0.262243265256217,2.28046563890187
33,0,3,33.5044776589744,0.366034421186139,3.33608011514114
33,0,4,33.6595323442803,0.173429979115527,4.30818714932873
33,0,5,33.9807041292254,0.173494260870057,5.45875985410406
33,0,6,34.1064728205116,0.288330407599868,6.53323303193887
33,0,7,34.6465850987902,0.710445538485679,7.66009024183654
33,0,8,34.928774764319,0.862895871011253,8.84864450300558
33,0,9,35.3255705013025,0.775781191859609,9.71052414330324
33,0,10,35.2861432086949,0.975857059009704,10.9284148830949
34,0,0,34.4875084322971,0.720070816783218,1.23281975099553
34,0,1,34.2876877414828,1.37334021789259,2.30429818668893
34,0,2,34.2713165778387,1.45758694726896,3.29024270306336
34,0,3,34.1605889518993,0.896334167237886,4.22006737253022
34,0,4,34.1078578799866,1.56574798002923,5.70298199028482
34,0,5,34.0754662790472,1.1933659731858,6.60037400367116
34,0,6,34.0812849682393,1.21041346025727,7.44628053471638
34,0,7,34.0961092628705,1.00706591267831,7.78574199990534
34,0,8,34.1398272417709,0.853813764916644,9.0253448885403
34,0,9,34.1078528621914,0.561647150995045,9.70722732360555
